"KVARTAL","Forbrugertillidsindikator","F2 Familiens økonomiske situation i dag, sammenlignet med for et år siden","F3 Familiens økonomiske  situation om et år, sammenlignet med i dag","F4 Danmarks økonomiske situation i dag, sammenlignet med for et år siden","F5 Danmarks økonomiske situation om et år, sammenlignet med i dag","F9 Anskaffelse af større forbrugsgoder, fordelagtigt for øjeblikket","Year","Quarter","Forbrug","realvækst"
"1996K1",5.93333333333333,9,14,6.33333333333333,-2.66666666666667,3,1996,1,194.8,NA
"1996K2",4.2,10.3333333333333,14.3333333333333,-0.666666666666667,-6.66666666666667,3.66666666666667,1996,2,194.4,NA
"1996K3",4.53333333333333,10.6666666666667,13.3333333333333,0.333333333333333,-5.66666666666667,4,1996,3,194.3,NA
"1996K4",4.53333333333333,10,14,1.66666666666667,-4,1,1996,4,194.8,NA
"1997K1",9.06666666666667,8.33333333333333,15.6666666666667,11,4.33333333333333,6,1997,1,197.7,1.48870636550307
"1997K2",9.33333333333333,11.3333333333333,15,13.3333333333333,1,6,1997,2,201.1,3.44650205761317
"1997K3",10.6666666666667,11.6666666666667,16.3333333333333,16,3.33333333333333,6,1997,3,197.3,1.54400411734432
"1997K4",7,9.33333333333333,13.3333333333333,12.6666666666667,-1,0.666666666666667,1997,4,204,4.72279260780286
"1998K1",10,10.3333333333333,15.6666666666667,14,4.66666666666667,5.33333333333333,1998,1,202.4,2.37733940313607
"1998K2",6.33333333333333,11.6666666666667,12.6666666666667,10.3333333333333,-3.33333333333333,0.333333333333333,1998,2,203.7,1.29288910989558
"1998K3",-1.6,8.66666666666667,9.66666666666667,-6.33333333333333,-13.6666666666667,-6.33333333333333,1998,3,205.7,4.25747592498731
"1998K4",-5.6,6.66666666666667,10,-18.3333333333333,-18.6666666666667,-7.66666666666667,1998,4,208.7,2.30392156862744
"1999K1",-5.4,5,11,-17,-19,-7,1999,1,206,1.7786561264822
"1999K2",-2.46666666666667,7.33333333333333,12.3333333333333,-11.6666666666667,-14.6666666666667,-5.66666666666667,1999,2,203.3,-0.196367206676473
"1999K3",0.533333333333334,9,13.3333333333333,-4,-10.6666666666667,-5,1999,3,205.1,-0.291686922702961
"1999K4",-2.2,5.33333333333333,12.6666666666667,-4.33333333333333,-10.6666666666667,-14,1999,4,205.2,-1.67704839482511
"2000K1",-0.466666666666667,2.33333333333333,13,-3.33333333333333,-8,-6.33333333333333,2000,1,205.4,-0.291262135922332
"2000K2",4.33333333333333,7.33333333333333,15,2,-0.666666666666667,-2,2000,2,206,1.32808657156911
"2000K3",2.8,6.33333333333333,15,1.66666666666667,-1,-8,2000,3,206.1,0.487567040468062
"2000K4",2.13333333333333,4.66666666666667,13,-0.666666666666667,-6,-0.333333333333333,2000,4,205,-0.0974658869395628
"2001K1",1.53333333333333,4.33333333333333,14.3333333333333,0,-5,-6,2001,1,205.9,0.24342745861734
"2001K2",-0.0666666666666668,5.66666666666667,12.6666666666667,-5.66666666666667,-7,-6,2001,2,208.2,1.06796116504855
"2001K3",-0.0666666666666667,6,12.6666666666667,-3.33333333333333,-4,-11.6666666666667,2001,3,207.1,0.485201358563803
"2001K4",-1.8,8.66666666666667,15,-4.33333333333333,-4.66666666666667,-23.6666666666667,2001,4,205.5,0.24390243902439
"2002K1",1.66666666666667,6,16.6666666666667,-2,2,-14.3333333333333,2002,1,208.7,1.35988343856239
"2002K2",2.2,8.33333333333333,13,-3.33333333333333,0.333333333333333,-7.33333333333333,2002,2,208.2,0
"2002K3",0.733333333333334,6,14,-5.33333333333333,-2.33333333333333,-8.66666666666667,2002,3,210.9,1.83486238532111
"2002K4",-0.133333333333333,5,15,-7.33333333333333,-4.33333333333333,-9,2002,4,211,2.676399026764
"2003K1",-0.333333333333333,4.66666666666667,12.6666666666667,-10.3333333333333,-8,-0.666666666666667,2003,1,209.2,0.239578342117874
"2003K2",0.133333333333333,7.66666666666667,15,-12.3333333333333,-4,-5.66666666666667,2003,2,210.9,1.29682997118157
"2003K3",0.533333333333333,6,12.3333333333333,-7.33333333333333,-0.666666666666667,-7.66666666666667,2003,3,213,0.995732574679931
"2003K4",1.73333333333333,5.66666666666667,15,-8,0.333333333333333,-4.33333333333333,2003,4,216.6,2.65402843601896
"2004K1",3.13333333333333,7,15.3333333333333,-4.33333333333333,4.33333333333333,-6.66666666666667,2004,1,217.5,3.96749521988529
"2004K2",7.6,12.3333333333333,16.6666666666667,7,7.66666666666667,-5.66666666666667,2004,2,219,3.84068278805121
"2004K3",8.06666666666667,13.3333333333333,15,9.33333333333333,5.66666666666667,-3,2004,3,223.9,5.11737089201878
"2004K4",7.26666666666667,12.3333333333333,14.3333333333333,10,4,-4.33333333333333,2004,4,230.5,6.41735918744228
"2005K1",8.27333333333333,12.7,16.1,12.2666666666667,6.2,-5.9,2005,1,226.2,4
"2005K2",6.9,11,15.6666666666667,13.4666666666667,3.73333333333333,-9.36666666666667,2005,2,231.5,5.70776255707763
"2005K3",9.87333333333333,12.5666666666667,14.0333333333333,19.6,5.8,-2.63333333333333,2005,3,234.3,4.64493077266637
